transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,transaction_datetime
130468,2023-06-15 00:00:00,06:22:11,3,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 06:22:11
130469,2023-06-15 00:00:00,06:22:11,2,5,Lower Manhattan,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 06:22:11
130470,2023-06-15 00:00:00,06:23:58,1,5,Lower Manhattan,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,2023-06-15 06:23:58
130471,2023-06-15 00:00:00,06:23:58,1,5,Lower Manhattan,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 06:23:58
130472,2023-06-15 00:00:00,06:24:25,2,5,Lower Manhattan,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023-06-15 06:24:25
130473,2023-06-15 00:00:00,06:26:19,2,5,Lower Manhattan,50,"2,5",Tea,Brewed Black tea,Earl Grey Rg,2023-06-15 06:26:19
130474,2023-06-15 00:00:00,06:26:44,1,5,Lower Manhattan,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 06:26:44
130475,2023-06-15 00:00:00,06:26:57,1,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 06:26:57
130476,2023-06-15 00:00:00,06:29:03,1,5,Lower Manhattan,39,"4,25",Coffee,Barista Espresso,Latte Rg,2023-06-15 06:29:03
130477,2023-06-15 00:00:00,06:29:03,1,5,Lower Manhattan,84,"0,8",Flavours,Regular syrup,Chocolate syrup,2023-06-15 06:29:03
130478,2023-06-15 00:00:00,06:30:34,1,5,Lower Manhattan,52,"2,5",Tea,Brewed Chai tea,Traditional Blend Chai Rg,2023-06-15 06:30:34
130479,2023-06-15 00:00:00,06:30:34,1,5,Lower Manhattan,18,"10,95",Loose Tea,Chai tea,Spicy Eye Opener Chai,2023-06-15 06:30:34
130480,2023-06-15 00:00:00,06:35:05,1,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,2023-06-15 06:35:05
130481,2023-06-15 00:00:00,06:35:57,2,8,Hell's Kitchen,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 06:35:57
130482,2023-06-15 00:00:00,06:36:21,1,5,Lower Manhattan,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,2023-06-15 06:36:21
130483,2023-06-15 00:00:00,06:36:21,1,5,Lower Manhattan,84,"0,8",Flavours,Regular syrup,Chocolate syrup,2023-06-15 06:36:21
130484,2023-06-15 00:00:00,06:37:40,1,5,Lower Manhattan,38,"3,75",Coffee,Barista Espresso,Latte,2023-06-15 06:37:40
130485,2023-06-15 00:00:00,06:37:40,2,5,Lower Manhattan,64,"0,8",Flavours,Regular syrup,Hazelnut syrup,2023-06-15 06:37:40
130486,2023-06-15 00:00:00,06:37:58,2,8,Hell's Kitchen,50,"2,5",Tea,Brewed Black tea,Earl Grey Rg,2023-06-15 06:37:58
130487,2023-06-15 00:00:00,06:38:02,2,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,2023-06-15 06:38:02
130488,2023-06-15 00:00:00,06:38:17,1,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 06:38:17
130489,2023-06-15 00:00:00,06:38:56,2,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 06:38:56
130490,2023-06-15 00:00:00,06:39:32,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023-06-15 06:39:32
130491,2023-06-15 00:00:00,06:39:55,2,5,Lower Manhattan,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 06:39:55
130492,2023-06-15 00:00:00,06:42:02,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,2023-06-15 06:42:02
130493,2023-06-15 00:00:00,06:42:09,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 06:42:09
130494,2023-06-15 00:00:00,06:42:54,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2023-06-15 06:42:54
130495,2023-06-15 00:00:00,06:43:09,1,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 06:43:09
130496,2023-06-15 00:00:00,06:43:33,1,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2023-06-15 06:43:33
130497,2023-06-15 00:00:00,06:45:07,1,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2023-06-15 06:45:07
130498,2023-06-15 00:00:00,06:45:30,2,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023-06-15 06:45:30
130499,2023-06-15 00:00:00,06:50:19,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,2023-06-15 06:50:19
130500,2023-06-15 00:00:00,06:51:21,2,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023-06-15 06:51:21
130501,2023-06-15 00:00:00,06:51:36,3,5,Lower Manhattan,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 06:51:36
130502,2023-06-15 00:00:00,06:51:36,1,5,Lower Manhattan,76,"3,5",Bakery,Biscotti,Chocolate Chip Biscotti,2023-06-15 06:51:36
130503,2023-06-15 00:00:00,06:51:45,1,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2023-06-15 06:51:45
130504,2023-06-15 00:00:00,06:51:45,1,8,Hell's Kitchen,74,"3,5",Bakery,Biscotti,Ginger Biscotti,2023-06-15 06:51:45
130505,2023-06-15 00:00:00,06:53:47,2,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023-06-15 06:53:47
130506,2023-06-15 00:00:00,06:54:19,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,2023-06-15 06:54:19
130507,2023-06-15 00:00:00,06:55:00,2,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 06:55:00
130508,2023-06-15 00:00:00,06:55:11,2,5,Lower Manhattan,40,"3,75",Coffee,Barista Espresso,Cappuccino,2023-06-15 06:55:11
130509,2023-06-15 00:00:00,06:55:11,1,5,Lower Manhattan,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 06:55:11
130510,2023-06-15 00:00:00,06:56:00,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023-06-15 06:56:00
130511,2023-06-15 00:00:00,06:57:42,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023-06-15 06:57:42
130512,2023-06-15 00:00:00,07:00:35,1,8,Hell's Kitchen,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023-06-15 07:00:35
130513,2023-06-15 00:00:00,07:00:35,1,8,Hell's Kitchen,81,28,Branded,Clothing,I Need My Bean! T-shirt,2023-06-15 07:00:35
130514,2023-06-15 00:00:00,07:00:45,1,8,Hell's Kitchen,48,"2,5",Tea,Brewed Black tea,English Breakfast Rg,2023-06-15 07:00:45
130515,2023-06-15 00:00:00,07:01:12,1,3,Astoria,40,"3,75",Coffee,Barista Espresso,Cappuccino,2023-06-15 07:01:12
130516,2023-06-15 00:00:00,07:01:12,2,3,Astoria,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 07:01:12
130517,2023-06-15 00:00:00,07:02:45,1,3,Astoria,48,"2,5",Tea,Brewed Black tea,English Breakfast Rg,2023-06-15 07:02:45
130518,2023-06-15 00:00:00,07:03:19,2,3,Astoria,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,2023-06-15 07:03:19
130519,2023-06-15 00:00:00,07:03:27,2,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 07:03:27
130520,2023-06-15 00:00:00,07:04:13,1,8,Hell's Kitchen,35,"3,1",Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023-06-15 07:04:13
130521,2023-06-15 00:00:00,07:04:44,2,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023-06-15 07:04:44
130522,2023-06-15 00:00:00,07:05:01,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 07:05:01
130523,2023-06-15 00:00:00,07:05:04,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023-06-15 07:05:04
130524,2023-06-15 00:00:00,07:05:11,1,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,2023-06-15 07:05:11
130525,2023-06-15 00:00:00,07:05:53,1,8,Hell's Kitchen,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,2023-06-15 07:05:53
130526,2023-06-15 00:00:00,07:05:55,2,8,Hell's Kitchen,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023-06-15 07:05:55
130527,2023-06-15 00:00:00,07:06:19,1,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,2023-06-15 07:06:19
130528,2023-06-15 00:00:00,07:07:12,1,3,Astoria,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 07:07:12
130529,2023-06-15 00:00:00,07:07:14,2,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023-06-15 07:07:14
130530,2023-06-15 00:00:00,07:07:14,2,8,Hell's Kitchen,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023-06-15 07:07:14
130531,2023-06-15 00:00:00,07:07:14,1,8,Hell's Kitchen,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:07:14
130532,2023-06-15 00:00:00,07:09:23,1,3,Astoria,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 07:09:23
130533,2023-06-15 00:00:00,07:10:05,2,3,Astoria,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023-06-15 07:10:05
130534,2023-06-15 00:00:00,07:11:00,2,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 07:11:00
130535,2023-06-15 00:00:00,07:11:26,2,5,Lower Manhattan,34,"2,45",Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2023-06-15 07:11:26
130536,2023-06-15 00:00:00,07:11:26,1,5,Lower Manhattan,75,"3,5",Bakery,Pastry,Croissant,2023-06-15 07:11:26
130537,2023-06-15 00:00:00,07:11:28,2,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,2023-06-15 07:11:28
130538,2023-06-15 00:00:00,07:11:32,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 07:11:32
130539,2023-06-15 00:00:00,07:11:32,2,3,Astoria,63,"0,8",Flavours,Regular syrup,Carmel syrup,2023-06-15 07:11:32
130540,2023-06-15 00:00:00,07:11:36,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,2023-06-15 07:11:36
130541,2023-06-15 00:00:00,07:11:51,1,3,Astoria,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,2023-06-15 07:11:51
130542,2023-06-15 00:00:00,07:11:51,2,3,Astoria,64,"0,8",Flavours,Regular syrup,Hazelnut syrup,2023-06-15 07:11:51
130543,2023-06-15 00:00:00,07:11:58,2,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 07:11:58
130544,2023-06-15 00:00:00,07:12:17,1,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 07:12:17
130545,2023-06-15 00:00:00,07:13:16,1,5,Lower Manhattan,25,"2,2",Coffee,Organic brewed coffee,Brazilian Sm,2023-06-15 07:13:16
130546,2023-06-15 00:00:00,07:13:25,1,8,Hell's Kitchen,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 07:13:25
130547,2023-06-15 00:00:00,07:13:30,2,3,Astoria,38,"3,75",Coffee,Barista Espresso,Latte,2023-06-15 07:13:30
130548,2023-06-15 00:00:00,07:13:30,1,3,Astoria,84,"0,8",Flavours,Regular syrup,Chocolate syrup,2023-06-15 07:13:30
130549,2023-06-15 00:00:00,07:14:01,1,8,Hell's Kitchen,25,"2,2",Coffee,Organic brewed coffee,Brazilian Sm,2023-06-15 07:14:01
130550,2023-06-15 00:00:00,07:14:03,2,3,Astoria,48,"2,5",Tea,Brewed Black tea,English Breakfast Rg,2023-06-15 07:14:03
130551,2023-06-15 00:00:00,07:17:17,1,5,Lower Manhattan,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023-06-15 07:17:17
130552,2023-06-15 00:00:00,07:17:17,1,5,Lower Manhattan,76,"3,5",Bakery,Biscotti,Chocolate Chip Biscotti,2023-06-15 07:17:17
130553,2023-06-15 00:00:00,07:19:01,2,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 07:19:01
130554,2023-06-15 00:00:00,07:19:01,2,8,Hell's Kitchen,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 07:19:01
130555,2023-06-15 00:00:00,07:19:38,2,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023-06-15 07:19:38
130556,2023-06-15 00:00:00,07:19:38,1,8,Hell's Kitchen,72,"3,25",Bakery,Scone,Ginger Scone,2023-06-15 07:19:38
130557,2023-06-15 00:00:00,07:19:41,1,3,Astoria,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023-06-15 07:19:41
130558,2023-06-15 00:00:00,07:20:12,2,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 07:20:12
130559,2023-06-15 00:00:00,07:20:31,2,8,Hell's Kitchen,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023-06-15 07:20:31
130560,2023-06-15 00:00:00,07:20:59,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg,2023-06-15 07:20:59
130561,2023-06-15 00:00:00,07:20:59,1,8,Hell's Kitchen,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:20:59
130562,2023-06-15 00:00:00,07:21:28,1,8,Hell's Kitchen,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 07:21:28
130563,2023-06-15 00:00:00,07:21:29,2,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 07:21:29
130564,2023-06-15 00:00:00,07:21:43,1,5,Lower Manhattan,58,"3,5",Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2023-06-15 07:21:43
130565,2023-06-15 00:00:00,07:21:45,2,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 07:21:45
130566,2023-06-15 00:00:00,07:21:45,1,8,Hell's Kitchen,79,"3,75",Bakery,Scone,Jumbo Savory Scone,2023-06-15 07:21:45
130567,2023-06-15 00:00:00,07:22:05,1,3,Astoria,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023-06-15 07:22:05
130568,2023-06-15 00:00:00,07:22:05,1,3,Astoria,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:22:05
130569,2023-06-15 00:00:00,07:22:47,1,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,2023-06-15 07:22:47
130570,2023-06-15 00:00:00,07:22:47,1,5,Lower Manhattan,74,"3,5",Bakery,Biscotti,Ginger Biscotti,2023-06-15 07:22:47
130571,2023-06-15 00:00:00,07:24:30,2,3,Astoria,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023-06-15 07:24:30
130572,2023-06-15 00:00:00,07:24:30,1,3,Astoria,73,"3,75",Bakery,Pastry,Almond Croissant,2023-06-15 07:24:30
130573,2023-06-15 00:00:00,07:24:36,1,3,Astoria,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,2023-06-15 07:24:36
130574,2023-06-15 00:00:00,07:24:36,1,3,Astoria,9,"22,5",Coffee beans,Organic Beans,Organic Decaf Blend,2023-06-15 07:24:36
130575,2023-06-15 00:00:00,07:24:37,1,5,Lower Manhattan,50,"2,5",Tea,Brewed Black tea,Earl Grey Rg,2023-06-15 07:24:37
130576,2023-06-15 00:00:00,07:24:52,2,8,Hell's Kitchen,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2023-06-15 07:24:52
130577,2023-06-15 00:00:00,07:24:52,1,8,Hell's Kitchen,69,"3,25",Bakery,Biscotti,Hazelnut Biscotti,2023-06-15 07:24:52
130578,2023-06-15 00:00:00,07:25:27,2,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023-06-15 07:25:27
130579,2023-06-15 00:00:00,07:26:34,2,8,Hell's Kitchen,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023-06-15 07:26:34
130580,2023-06-15 00:00:00,07:26:34,1,8,Hell's Kitchen,76,"3,5",Bakery,Biscotti,Chocolate Chip Biscotti,2023-06-15 07:26:34
130581,2023-06-15 00:00:00,07:27:25,2,8,Hell's Kitchen,39,"4,25",Coffee,Barista Espresso,Latte Rg,2023-06-15 07:27:25
130582,2023-06-15 00:00:00,07:27:25,2,8,Hell's Kitchen,64,"0,8",Flavours,Regular syrup,Hazelnut syrup,2023-06-15 07:27:25
130583,2023-06-15 00:00:00,07:27:31,1,5,Lower Manhattan,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023-06-15 07:27:31
130584,2023-06-15 00:00:00,07:28:56,2,5,Lower Manhattan,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023-06-15 07:28:56
130585,2023-06-15 00:00:00,07:29:41,1,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023-06-15 07:29:41
130586,2023-06-15 00:00:00,07:29:41,1,3,Astoria,72,"3,25",Bakery,Scone,Ginger Scone,2023-06-15 07:29:41
130587,2023-06-15 00:00:00,07:29:59,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023-06-15 07:29:59
130588,2023-06-15 00:00:00,07:29:59,1,8,Hell's Kitchen,9,"22,5",Coffee beans,Organic Beans,Organic Decaf Blend,2023-06-15 07:29:59
130589,2023-06-15 00:00:00,07:30:22,1,5,Lower Manhattan,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,2023-06-15 07:30:22
130590,2023-06-15 00:00:00,07:30:22,1,5,Lower Manhattan,71,"3,75",Bakery,Pastry,Chocolate Croissant,2023-06-15 07:30:22
130591,2023-06-15 00:00:00,07:30:36,1,5,Lower Manhattan,48,"2,5",Tea,Brewed Black tea,English Breakfast Rg,2023-06-15 07:30:36
130592,2023-06-15 00:00:00,07:30:54,2,5,Lower Manhattan,31,"2,2",Coffee,Gourmet brewed coffee,Ethiopia Sm,2023-06-15 07:30:54
130593,2023-06-15 00:00:00,07:30:55,1,3,Astoria,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 07:30:55
130594,2023-06-15 00:00:00,07:31:02,2,3,Astoria,38,"3,75",Coffee,Barista Espresso,Latte,2023-06-15 07:31:02
130595,2023-06-15 00:00:00,07:31:02,1,3,Astoria,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 07:31:02
130596,2023-06-15 00:00:00,07:31:02,1,3,Astoria,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:31:02
130597,2023-06-15 00:00:00,07:31:17,2,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,2023-06-15 07:31:17
130598,2023-06-15 00:00:00,07:31:17,1,3,Astoria,79,"3,75",Bakery,Scone,Jumbo Savory Scone,2023-06-15 07:31:17
130599,2023-06-15 00:00:00,07:32:03,1,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 07:32:03
130600,2023-06-15 00:00:00,07:33:01,1,3,Astoria,52,"2,5",Tea,Brewed Chai tea,Traditional Blend Chai Rg,2023-06-15 07:33:01
130601,2023-06-15 00:00:00,07:33:02,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023-06-15 07:33:02
130602,2023-06-15 00:00:00,07:34:02,2,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 07:34:02
130603,2023-06-15 00:00:00,07:34:07,2,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023-06-15 07:34:07
130604,2023-06-15 00:00:00,07:34:09,1,8,Hell's Kitchen,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 07:34:09
130605,2023-06-15 00:00:00,07:34:30,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 07:34:30
130606,2023-06-15 00:00:00,07:34:30,1,3,Astoria,84,"0,8",Flavours,Regular syrup,Chocolate syrup,2023-06-15 07:34:30
130607,2023-06-15 00:00:00,07:35:00,2,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023-06-15 07:35:00
130608,2023-06-15 00:00:00,07:35:30,1,8,Hell's Kitchen,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 07:35:30
130609,2023-06-15 00:00:00,07:36:50,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023-06-15 07:36:50
130610,2023-06-15 00:00:00,07:36:50,1,8,Hell's Kitchen,82,12,Branded,Housewares,I Need My Bean! Diner mug,2023-06-15 07:36:50
130611,2023-06-15 00:00:00,07:37:11,2,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 07:37:11
130612,2023-06-15 00:00:00,07:37:36,2,5,Lower Manhattan,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 07:37:36
130613,2023-06-15 00:00:00,07:37:54,1,3,Astoria,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023-06-15 07:37:54
130614,2023-06-15 00:00:00,07:37:54,1,3,Astoria,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:37:54
130615,2023-06-15 00:00:00,07:37:54,1,3,Astoria,21,"13,33",Packaged Chocolate,Drinking Chocolate,Chili Mayan,2023-06-15 07:37:54
130616,2023-06-15 00:00:00,07:38:05,2,8,Hell's Kitchen,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 07:38:05
130617,2023-06-15 00:00:00,07:38:05,1,8,Hell's Kitchen,70,"3,25",Bakery,Scone,Cranberry Scone,2023-06-15 07:38:05
130618,2023-06-15 00:00:00,07:39:14,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,2023-06-15 07:39:14
130619,2023-06-15 00:00:00,07:39:30,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,2023-06-15 07:39:30
130620,2023-06-15 00:00:00,07:39:31,1,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,2023-06-15 07:39:31
130621,2023-06-15 00:00:00,07:39:37,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,2023-06-15 07:39:37
130622,2023-06-15 00:00:00,07:39:37,1,8,Hell's Kitchen,78,"4,5",Bakery,Scone,Scottish Cream Scone ,2023-06-15 07:39:37
130623,2023-06-15 00:00:00,07:39:38,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 07:39:38
130624,2023-06-15 00:00:00,07:39:38,1,5,Lower Manhattan,84,"0,8",Flavours,Regular syrup,Chocolate syrup,2023-06-15 07:39:38
